"logFC"	"logCPM"	"PValue"	"FDR"
"ENSG00000064601.16"	1.61595993816376	6.56166127628335	4.17602790430893e-97	2.2443974971127e-95
"ENSG00000135604.9"	4.11425965914295	4.12919148959161	4.86377178707448e-97	2.6004798482291e-95
"ENSG00000158710.14"	2.3498572955144	8.88323076873526	6.14448604888088e-97	3.26829647105164e-95
"ENSG00000064547.13"	4.20190443911815	3.56386971022502	7.36103927890343e-97	3.89531099071818e-95
"ENSG00000141736.13"	3.29818948047343	8.78926628667091	9.86168898834881e-97	5.1919779934067e-95
"ENSG00000011422.11"	4.02517452618873	4.26396166382813	3.29383212885651e-96	1.7253326770391e-94
"ENSG00000100219.16"	2.1372219546112	8.66205365716094	3.7380507300948e-96	1.94812855979031e-94
"ENSG00000140479.16"	3.85044896866329	8.14214314815579	1.16820205166826e-95	6.05762661867575e-94
"ENSG00000204178.9"	1.70066584805574	5.30885277112133	1.24918961868516e-95	6.44519383760608e-94
"ENSG00000173212.4"	-4.58823750488659	3.50806527326161	2.19271372093858e-95	1.12570213365001e-93
"ENSG00000108219.14"	3.45254177728323	7.0111513373818	1.32302282113574e-94	6.75855073826719e-93
"ENSG00000170421.12"	1.97309276619986	11.6514011731849	1.45958283257324e-94	7.41942623119371e-93
"ENSG00000149932.16"	1.71372614851825	5.42216433089475	1.54458868056188e-94	7.8130444091755e-93
"ENSG00000162694.13"	-2.18183361646862	6.13135483204737	2.12155967946145e-94	1.06792069913964e-92
"ENSG00000157045.8"	-2.18548413814147	4.36514896170474	3.65885326559033e-94	1.83280130328284e-92
"ENSG00000182827.8"	1.40382910229611	7.20349477678225	5.17620598381948e-94	2.58035118584702e-92
"ENSG00000142459.8"	2.41459665286597	5.86894900848185	9.45784568690103e-94	4.69209180976595e-92
"ENSG00000077782.19"	2.85819486457914	7.64887709125733	1.02272781212102e-93	5.0495350685535e-92
"ENSG00000107099.15"	-3.16411648775878	6.9863146288771	1.11247932195718e-93	5.46651148727436e-92
"ENSG00000148842.17"	-2.62497657268001	5.55991230735435	1.17859245714712e-93	5.76393154753607e-92
"ENSG00000196141.13"	2.82589151759182	4.81734011464945	2.04036405831796e-93	9.93137581027499e-92
