Geneid,CTB_1st_717,CTB_1st_722,CTB_1st_732,EVT_1st_1026,EVT_1st_1087,EVT_1st_1089
ENSG00000013573.17,2320.736,2251.5,2052.93,1022.696,769.345,691.106
ENSG00000013583.10,84,106,67,54,52.999,70
ENSG00000013588.9,216,67,25,907.018,393.137,968.001
ENSG00000013619.15,34.999,1,0,1,1,0
ENSG00000013725.14,18,22,13,15,9,9
ENSG00000013810.21,1228.999,1512.002,1767.256,286,221,253
ENSG00000014123.10,2592.287,3218,2997.578,1845.399,1923.13,1808.723
ENSG00000014138.10,914.228,1152.308,1156.309,467.774,391.372,369.077
ENSG00000014164.7,304.183,315,414,394,264,276.389
ENSG00000014216.16,9879.435,9514.346,10537.056,3551.664,3189.085,3148
ENSG00000014257.17,1821.089,1628.001,1720.989,45.001,35,71
ENSG00000014641.21,3394.021,3828.999,3936.994,1916.075,2065.999,1915
ENSG00000014824.14,3382.364,3685.025,3620.248,1956.902,2042.067,1920.004
ENSG00000014914.21,981.001,996.998,1098.045,410.002,453.001,455.201
ENSG00000014919.13,1936.462,2082.283,2068.535,796.847,877.455,865.392
ENSG00000015133.20,354,394.999,778,39,46,46.999
ENSG00000015153.15,526.998,438.998,578.999,443.087,434.999,345
ENSG00000015171.21,2441.679,2378.743,2647.076,749.474,768.822,787.573
ENSG00000015285.12,3,6,0,28,26,5
ENSG00000015413.10,0,3,1,3,14,13
ENSG00000015475.19,113.999,110.981,91.001,24,36.999,14
ENSG00000015479.20,13704.296,15316.065,13825.177,8217.367,8839.115,9142.054
ENSG00000015520.15,0,3,0,1,1,1
ENSG00000015532.10,879.995,982.001,983.089,648,623,571
ENSG00000015568.13,2065.936,1033.914,2038.061,2444.237,1203.484,1418.306
ENSG00000015592.17,1,0,0,0,3,0
ENSG00000015676.18,2470.647,2717,2430.36,1350.999,1257.142,1441.001
ENSG00000016082.15,566,562,881.34,471.425,564.001,385
ENSG00000016391.11,420,477.001,437.652,98.292,87,76.01
ENSG00000016402.14,197,261.001,185,157.999,275,59
ENSG00000016490.16,0,0,0,0,0,0
ENSG00000016602.9,0,0,0,0,0,0
ENSG00000016864.19,839.014,1141,923.366,1255.994,1095,1223.998
ENSG00000017260.20,1660.269,2107.057,1759.408,2303.589,2209.008,2084.528
ENSG00000017427.17,890.875,5,2.984,33.997,67,1
ENSG00000017483.16,31.001,0,0,3,3,0
ENSG00000017797.13,2211.707,4112.75,4008.414,17715.481,13556.156,15483.177
ENSG00000018189.13,1886.007,1992.287,1932.002,562.005,592.001,513.001
ENSG00000018236.15,44,0,0,1,1,0
ENSG00000018280.17,30,39,29,181.958,138,91
ENSG00000018408.15,1039.995,1533,1184.519,4368.512,5892.78,5541.562
ENSG00000018510.18,1964.341,2241.432,2007.899,2016.106,2074.013,1961.026
ENSG00000018607.9,0,0,0,0,0,0
ENSG00000018610.15,1296.992,1469.518,1550.08,812.223,850.369,888.796
ENSG00000018625.15,0,2,0,0,14,7
ENSG00000018699.13,1010.4,1035.426,1016.999,604,608,476
ENSG00000018869.18,79,55,73,24,45,25
ENSG00000019102.12,1,0,0,3,3,2
ENSG00000019144.20,1298.031,213,262.956,208.917,85.01,82.001
ENSG00000019169.11,0,3,2,111,64,25
ENSG00000019186.10,3,3,1,4,2,0
ENSG00000019485.14,231,128,184,106.001,117,90
ENSG00000019505.8,2,5,1,2.001,4,2
ENSG00000019549.13,112,14,4,12,2,1
ENSG00000019582.17,88.602,71.632,172.485,1901.776,1733.048,1050.936
ENSG00000019991.18,87,268,8,374.017,23,29.999
ENSG00000019995.6,2783.855,2340.213,2910.152,1380.944,1521.307,1596.148
ENSG00000020129.16,523.999,501,693.154,285.999,156,193
ENSG00000020181.18,423.371,67,23,75,19,3
ENSG00000020219.9,0,2,1,0,8,0
ENSG00000020256.20,413,333,445,397,361,279.001
ENSG00000020426.11,661,728.38,695.074,377.012,397,249
ENSG00000020577.14,2031.584,1488.675,1597.294,137.001,148,153
ENSG00000020633.19,0,4,2,7,6,7
ENSG00000020922.13,2647.498,3259.79,2841.546,805.927,903.306,1031.04
ENSG00000021300.14,6,9,12,0,0,1
ENSG00000021355.13,1820.746,2021.022,2114.011,1794.186,2123.671,1917.119
ENSG00000021461.18,2,2,1,0,2,1
ENSG00000021488.13,12,46,13,132,314.04,176.001
ENSG00000021574.14,1461.788,1606.662,1390.612,1190.869,1010.76,1145.135
ENSG00000021645.20,249.148,411.864,422,9.955,32.003,34.001
ENSG00000021762.20,233.019,20,18,38,27,25
ENSG00000021776.11,3158.408,3698,3268.584,2005.674,2412.948,2277.015
ENSG00000021826.18,121.525,242.999,239.845,159.571,160.06,173.036
ENSG00000021852.14,2,0,0,1,0,1
ENSG00000022267.19,130.999,12,6,250.999,58.008,94
ENSG00000022277.13,2497.001,2862.116,2641.945,1642.39,1627,1612.837
ENSG00000022355.18,0,2,0,0,0,0
ENSG00000022556.16,6482.323,9875.422,10564.27,24437.074,27302.578,17505.561
ENSG00000022567.10,1117.732,984,1861.004,180.001,104.999,163.059
ENSG00000022840.17,3746.323,3703.999,4650.558,2726.344,2133.944,2232.117
ENSG00000022976.16,549,655.637,707.089,319.999,224.999,248.999
ENSG00000023041.12,1081.587,1410.999,1307.721,1000.021,1142.215,1085.006
ENSG00000023171.20,1490,1234.002,1505.001,1892.015,1716.726,1193.999
ENSG00000023191.17,3993.22,3563.999,3906.903,3180.754,2857.25,2869.001
ENSG00000023228.14,4429.842,5443.27,4009.972,2027.964,1957.132,2171.259
ENSG00000023287.13,3350.999,3220.016,3192.188,2404.297,2450.995,2804.945
ENSG00000023318.9,1760.415,2391.652,2211.545,2512.001,2391.986,2107
ENSG00000023330.15,4563.368,4460.029,4990.921,2880.325,2003.684,2042
