Geneid,CTB_1st_717,CTB_1st_722,CTB_1st_732,EVT_1st_1026,EVT_1st_1087,EVT_1st_1089
ENSG00000228150.1,1,0,5,1,0,1
ENSG00000173614.13,367,370,400,158,190,187
ENSG00000202415.1,3,5,3,0,2,5
ENSG00000283611.1,0,0,0,0,0,0
ENSG00000265521.1,0,0,0,0,1,0
ENSG00000241326.1,0,0,0,0,0,0
ENSG00000162444.11,18,20,8,4,19,1
ENSG00000130939.18,5636,5461,7040,1516,1292,1573
ENSG00000224340.1,0,0,0,0,0,0
ENSG00000233623.2,0,12,8,4,5,3
ENSG00000201746.1,5,3,5,0,2,0
ENSG00000054523.17,1341,1501,2007,1086,918,846
ENSG00000264881.1,0,0,2,0,0,0
ENSG00000199562.1,1,4,11,3,0,1
ENSG00000264501.2,0,0,0,0,0,0
ENSG00000142657.20,4406,6289,6128,1201,1343,1326
ENSG00000271989.1,0,2,3,1,0,2
ENSG00000251503.8,1,2,0,0,0,0
ENSG00000175279.21,19,34,17,3,6,7
ENSG00000241563.3,2,1,4,0,0,2
ENSG00000160049.11,2775,3688,3779,968,849,972
ENSG00000203469.2,0,2,0,0,0,0
ENSG00000142655.12,799,829,762,285,269,264
ENSG00000243267.3,2,1,4,0,3,1
ENSG00000130940.14,126,146,146,54,53,52
ENSG00000272078.1,1,0,0,9,0,5
ENSG00000225158.2,0,0,0,0,0,0
ENSG00000175262.14,0,2,2,9,7,1
ENSG00000215785.2,0,0,0,0,0,0
ENSG00000120948.16,1702,2165,2032,1296,1300,1336
ENSG00000277726.4,0,0,0,0,0,0
ENSG00000009724.16,0,0,7,0,0,0
ENSG00000271895.2,31,8,25,7,4,8
ENSG00000116649.9,808,1216,1096,645,467,506
ENSG00000171824.13,2211,2895,2742,2332,2334,2118
ENSG00000226849.1,4,4,3,4,1,4
ENSG00000230337.1,8,7,6,4,6,5
ENSG00000198793.12,4055,4717,4719,3006,2483,2667
ENSG00000225602.5,0,0,0,0,0,0
ENSG00000253086.1,0,0,0,0,0,0
ENSG00000171819.4,0,0,0,0,0,1
ENSG00000207451.1,0,0,0,0,0,0
ENSG00000238173.1,0,0,0,0,0,0
ENSG00000120942.13,639,721,801,303,367,254
ENSG00000238199.1,1,6,0,2,2,0
ENSG00000224338.2,0,0,0,0,0,0
ENSG00000204624.7,3,2,4,6,4,5
ENSG00000235643.1,0,0,0,0,0,0
ENSG00000116661.9,3,2,0,47,27,53
ENSG00000132879.13,17,23,83,97,63,65
ENSG00000116663.10,30,33,58,92,192,90
ENSG00000116670.14,262,270,265,363,418,452
ENSG00000162490.6,2,1,1,0,9,4
ENSG00000177674.15,351,329,213,619,715,482
ENSG00000215910.7,3,1,0,2,5,0
ENSG00000177553.6,0,0,0,0,0,0
ENSG00000177000.10,943,593,798,429,360,323
ENSG00000011021.21,303,388,471,444,306,260
ENSG00000242349.5,3,0,6,2,1,3
ENSG00000276470.1,0,0,0,0,0,0
ENSG00000278852.1,0,0,0,0,0,0
ENSG00000175206.10,0,0,0,0,0,0
ENSG00000275915.1,0,0,0,0,0,0
ENSG00000120937.8,13,4,8,5,0,5
ENSG00000224904.1,1,0,1,0,0,0
ENSG00000199347.1,360,125,275,72,181,260
ENSG00000201801.1,41,13,30,14,29,32
ENSG00000116685.15,1544,2022,1846,2045,2257,2022
ENSG00000083444.16,2213,4214,3219,15079,19132,14774
ENSG00000116688.16,4565,4667,5166,2903,2545,2501
ENSG00000270914.1,0,0,0,0,0,0
ENSG00000116691.10,748,871,676,1540,1885,1638
ENSG00000202461.1,0,0,0,0,0,0
ENSG00000276869.1,0,0,0,0,0,0
ENSG00000243539.3,0,0,0,0,0,0
ENSG00000120949.14,10,7,9,117,35,77
ENSG00000201135.1,0,0,0,0,0,0
ENSG00000227875.2,0,0,0,0,0,0
ENSG00000283789.1,0,0,0,0,0,0
ENSG00000028137.18,518,770,357,665,612,260
ENSG00000263676.1,0,0,0,1,0,0
ENSG00000225196.2,0,0,0,0,0,0
ENSG00000252969.1,0,0,0,0,0,0
ENSG00000048707.13,4315,4619,4720,2823,2956,2727
ENSG00000239149.1,7,9,8,6,2,3
ENSG00000229484.1,1,0,1,0,0,0
ENSG00000162496.8,827,972,899,2437,2522,2015
ENSG00000221340.1,0,2,0,8,5,1
ENSG00000276830.1,0,4,0,0,1,0
ENSG00000272482.1,5,5,5,123,141,154
ENSG00000204518.2,2,0,0,0,0,0
ENSG00000226166.2,0,0,0,0,0,0
ENSG00000188984.11,7,88,35,1083,870,1411
ENSG00000157330.9,0,0,0,12,19,19
ENSG00000116726.4,0,0,0,0,0,0
ENSG00000116721.9,0,0,0,0,0,1
ENSG00000228338.1,0,0,0,0,0,0
ENSG00000239810.3,0,0,0,0,0,0
ENSG00000231103.2,0,0,0,0,0,0
ENSG00000179172.9,10,13,6,6,2,2
ENSG00000120952.4,0,4,0,0,0,0
ENSG00000243073.3,0,0,0,0,0,1
ENSG00000187545.5,0,0,0,0,0,0
ENSG00000204510.5,0,0,0,0,0,0
ENSG00000207434.1,0,0,0,0,0,0
ENSG00000234064.1,0,0,0,0,0,0
ENSG00000232423.6,0,1,0,0,0,0
ENSG00000274178.2,0,0,0,0,0,0
ENSG00000274764.5,0,0,0,0,0,0
ENSG00000277058.2,0,0,0,1,0,0
ENSG00000229571.7,0,0,2,0,0,0
ENSG00000277862.1,0,0,0,0,0,0
ENSG00000236179.1,0,0,0,0,0,0
ENSG00000275774.2,3,1,1,0,1,0
ENSG00000229978.1,0,0,0,0,0,0
ENSG00000233336.1,0,0,0,0,0,0
ENSG00000280267.4,0,0,0,0,0,0
ENSG00000179412.10,0,0,0,0,0,0
ENSG00000204505.4,0,0,0,0,0,0
ENSG00000279169.2,0,0,0,0,0,0
ENSG00000279804.2,0,0,2,0,0,0
ENSG00000250894.1,0,0,1,0,0,0
ENSG00000270601.4,0,0,0,0,0,0
ENSG00000231219.1,0,0,0,0,0,0
ENSG00000207511.1,0,0,0,0,0,0
ENSG00000182330.10,0,0,0,0,0,0
ENSG00000237700.2,0,0,0,0,2,1
ENSG00000204501.7,0,0,0,0,0,0
ENSG00000228229.2,0,0,0,0,0,0
ENSG00000204481.7,0,0,0,0,0,0
